,Answer,Link,Title
103,Spreadsheet version,/questions/81584/what-ide-to-use-for-python,What IDE to use for Python? [closed]
104,"To check ifois an instance ofstror any subclass ofstr, useisinstance(this would be the ""canonical"" way):",/questions/152580/whats-the-canonical-way-to-check-for-type-in-python,What's the canonical way to check for type in Python?
105,Thedelstatementremoves an element:,/questions/5844672/delete-an-element-from-a-dictionary,Delete an element from a dictionary
106,"Just one space, or all such spaces?  If the second, then strings already have a.strip()method:",/questions/761804/how-do-i-trim-whitespace-from-a-python-string,How do I trim whitespace from a Python string?
107,"""What are the largest sites built on Django today?""",/questions/886221/does-django-scale,Does Django scale? [closed]
108,Yes. Useos.path.splitext(seePython 2.X documentationorPython 3.X documentation):,/questions/541390/extracting-extension-from-filename-in-python,Extracting extension from filename in Python
109,"isis identity testing,==is equality testing. what happens in your code would be emulated in the interpreter like this:",/questions/1504717/why-does-comparing-strings-using-either-or-is-sometimes-produce-a-differe,Why does comparing strings using either '==' or 'is' sometimes produce a different result?
110,"First, I see two issues with what you're trying to do. Since you already have an installed version, you should either uninstall the current existing driver or usepip install -I MySQL_python==1.2.2",/questions/5226311/installing-specific-package-versions-with-pip,Installing specific package versions with pip
111,Print by default prints tosys.stdout.,/questions/230751/how-to-flush-output-of-print-function,How to flush output of print function?
112,Whitespace on both sides:,/questions/1185524/how-do-i-trim-whitespace,How do I trim whitespace?
113,This information is available in thesys.versionstring in thesysmodule:,/questions/1093322/how-do-i-check-what-version-of-python-is-running-my-script,How do I check what version of Python is running my script?
114,"The reason you need to useself.is because Python does not use the@syntax to refer to instance attributes. Python decided to do methods in a way that makes the instance to which the method belongs bepassedautomatically, but notreceivedautomatically: the first parameter of methods is the instance the method is called on. That makes methods entirely the same as functions, and leaves the actual name to use up to you (althoughselfis the convention, and people will generally frown at you when you use something else.)selfis not special to the code, it's just another object.",/questions/2709821/what-is-the-purpose-of-self,What is the purpose of self?
115,"Are you talking about multi-line strings? Easy, use triple quotes to start and end them.",/questions/10660435/pythonic-way-to-create-a-long-multi-line-string,Pythonic way to create a long multi-line string
116,"You can use triple-quoted strings. When they're not a docstring (first thing in a class/function/module), they are ignored.",/questions/7696924/way-to-create-multiline-comments-in-python,Way to create multiline comments in Python?
117,"In Python, the 'null' object is the singletonNone.",/questions/3289601/null-object-in-python,null object in Python?
118,It's difficult to makedel df.column_namework simply as the result of syntactic limitations in Python.del df[name]gets translated todf.__delitem__(name)under the covers by Python.,/questions/13411544/delete-column-from-pandas-dataframe-by-column-name,Delete column from pandas DataFrame by column name
119,Fromthe docs:,/questions/7943751/what-is-the-python-3-equivalent-of-python-m-simplehttpserver,What is the Python 3 equivalent of “python -m SimpleHTTPServer”
120,"Apart from tuples being immutable there is also a semantic distinction that should guide their usage. Tuples are heterogeneous data structures (i.e., their entries have different meanings), while lists are homogeneous sequences.Tuples have structure, lists have order.",/questions/626759/whats-the-difference-between-lists-and-tuples,What's the difference between lists and tuples?
121,Many of the answers here are out of date for 2015 (althoughthe initially accepted one from Daniel Rosemanis not). Here's the current state of things:,/questions/3220404/why-use-pip-over-easy-install,Why use pip over easy_install? [closed]
122,Like this:,/questions/209840/convert-two-lists-into-a-dictionary-in-python,Convert two lists into a dictionary in Python
123,"If you have several versions of Python installed,/usr/bin/envwill ensure the interpreter used is the first one on your environment's$PATH. The alternative would be to hardcode something like#!/usr/bin/python; that's ok, but less flexible.",/questions/2429511/why-do-people-write-the-usr-bin-env-python-shebang-on-the-first-line-of-a-pyt,Why do people write the #!/usr/bin/env python shebang on the first line of a Python script?
124,Named tupleswere added in 2.6 for this purpose.  Also seeos.statfor a similar builtin example.,/questions/354883/how-to-return-multiple-values-from-a-function,How to return multiple values from a function? [closed]
125,"tl;dr: In Python 3, apart from compatibility between Python 2 and 3,no reason. In Python 2,many reasons.",/questions/4015417/python-class-inherits-object,Python class inherits object
126,"By default, you can't. When importing a file, Python only searches the current directory, the directory that the entry-point script is running from, andsys.pathwhich includes locations such as the package installation directory (it's actually a little more complex than this, but this covers most cases).",/questions/4383571/importing-files-from-different-folder,Importing files from different folder
127,Fromhttp://docs.python.org/2/reference/datamodel.html#new-style-and-classic-classes:,/questions/54867/what-is-the-difference-between-old-style-and-new-style-classes-in-python,What is the difference between old style and new style classes in Python?
128,"They containbyte code, which is what the Python interpreter compiles the source to. This code is then executed by Python's virtual machine.",/questions/2998215/if-python-is-interpreted-what-are-pyc-files,"If Python is interpreted, what are .pyc files?"
129,"Checking for__iter__works on sequence types, but it would fail on e.g. stringsin Python 2. I would like to know the right answer too, until then, here is one possibility (which would work on strings, too):",/questions/1952464/in-python-how-do-i-determine-if-an-object-is-iterable,"In Python, how do I determine if an object is iterable?"
130,"While the question has been answered, I'd like to add some useful tips when usingmatplotlib.pyplot.savefig. The file format can be specified by the extension:",/questions/9622163/save-plot-to-image-file-instead-of-displaying-it-using-matplotlib,Save plot to image file instead of displaying it using Matplotlib
131,"Just use the--python(or short-p) option when creating your virtualenv instance to specify the Python executable you want to use, e.g.:",/questions/1534210/use-different-python-version-with-virtualenv,Use different Python version with virtualenv
132,Fromhere:,/questions/227459/how-to-get-the-ascii-value-of-a-character,How to get the ASCII value of a character?
133,"You're looking foros.path.isdir, oros.path.existsif you don't care whether it's a file or a directory.",/questions/8933237/how-to-find-if-directory-exists-in-python,How to find if directory exists in Python
134,For Python 3.5+ use:,/questions/67631/how-to-import-a-module-given-the-full-path,How to import a module given the full path?
135,What is the line?  You can just have arguments on the next line without any problems:,/questions/53162/how-can-i-do-a-line-break-line-continuation-in-python,How can I do a line break (line continuation) in Python?
136,Are you talking aboutlambda functions? Like,/questions/890128/why-are-python-lambdas-useful,Why are Python lambdas useful? [closed]
137,You forgot the actual JSON part -datais a dictionary and not yet JSON-encoded. Write it like this:,/questions/12309269/how-do-i-write-json-data-to-a-file,How do I write JSON data to a file?
138,This should be as simple as:,/questions/6159900/correct-way-to-write-line-to-file,Correct way to write line to file?
139,You can make use of thereversedfunction for this as:,/questions/3940128/how-can-i-reverse-a-list-in-python,How can I reverse a list in Python?
140,Looks like you haven't properly installed the header files and static libraries for python dev.  Use your package manager to install them system-wide.,/questions/21530577/fatal-error-python-h-no-such-file-or-directory,fatal error: Python.h: No such file or directory
141,details from thesysmodule documentation:,/questions/73663/terminating-a-python-script,Terminating a Python script
142,"I suggestElementTree.  There are other compatible implementations of the same API, such aslxml, andcElementTreein the Python standard library itself; but, in this context, what they chiefly add is even more speed -- the ease of programming part depends on the API, whichElementTreedefines.",/questions/1912434/how-do-i-parse-xml-in-python,How do I parse XML in Python?
143,My 50 cents for getting apip freeze-like list from a Python script:,/questions/739993/how-can-i-get-a-list-of-locally-installed-python-modules,How can I get a list of locally installed Python modules?
144,Update: Comments point out that the instructions here may be dangerous. Consider using the Visual C++ 2008 Express edition or the purpose-builtMicrosoft Visual C++ Compiler for Python(details) andNOTusing the original answer below. Original error message means the required version of Visual C++ is not installed.,/questions/2817869/error-unable-to-find-vcvarsall-bat,error: Unable to find vcvarsall.bat
145,You can't get any better than that.,/questions/845058/how-to-get-line-count-cheaply-in-python,How to get line count cheaply in Python?
146,"str.count(sub[, start[, end]])",/questions/1155617/count-the-number-occurrences-of-a-character-in-a-string,Count the number occurrences of a character in a string
147,"I routinely use tens of gigabytes of data in just this fashion
e.g. I have tables on disk that I read via queries, create data and append back.",/questions/14262433/large-data-work-flows-using-pandas,“Large data” work flows using pandas
148,This works for me:,/questions/7225900/how-to-install-packages-using-pip-according-to-the-requirements-txt-file-from-a,How to install packages using pip according to the requirements.txt file from a local directory?
149,"To remove an element's first occurrence in a list, simply uselist.remove:",/questions/2793324/is-there-a-simple-way-to-delete-a-list-element-by-value,Is there a simple way to delete a list element by value?
150,No there is not. You cannot declare a variable or value as constant in Python. Just don't change it.,/questions/2682745/how-do-i-create-a-constant-in-python,How do I create a constant in Python?
151,You can use a list comprehension to create a new list containing only the elements you don't want to remove:,/questions/1207406/how-to-remove-items-from-a-list-while-iterating,How to remove items from a list while iterating?
152,A mixin is a special kind of multiple inheritance.  There are two main situations where mixins are used:,/questions/533631/what-is-a-mixin-and-why-are-they-useful,"What is a mixin, and why are they useful?"
153,"If you just want to measure the elapsed wall-clock time between two points, you could usetime.time():",/questions/7370801/measure-time-elapsed-in-python,Measure time elapsed in Python?
154,I detected the peaks using alocal maximum filter. Here is the result on your first dataset of 4 paws:,/questions/3684484/peak-detection-in-a-2d-array,Peak detection in a 2D array
155,inis definitely more pythonic.,/questions/1323410/should-i-use-has-key-or-in-on-python-dicts,Should I use 'has_key()' or 'in' on Python dicts?
156,You might askwhyit is faster to store local variables than globals. This is a CPython implementation detail.,/questions/11241523/why-does-python-code-run-faster-in-a-function,Why does Python code run faster in a function?
157,Getting some sort of modification date in a cross-platform way is easy - just callos.path.getmtime(path)and you'll get the Unix timestamp of when the file atpathwas last modified.,/questions/237079/how-to-get-file-creation-modification-date-times-in-python,How to get file creation & modification date/times in Python?
158,You are really mixing together two different things.,/questions/192109/is-there-a-built-in-function-to-print-all-the-current-properties-and-values-of-a,Is there a built-in function to print all the current properties and values of an object?
159,"There are two types of site-packages directories,globalandper user.",/questions/122327/how-do-i-find-the-location-of-my-python-site-packages-directory,How do I find the location of my Python site-packages directory?
160,"The common approach to get a unique collection of items is to use aset. Sets areunorderedcollections ofdistinctobjects. To create a set from any iterable, you can simply pass it to the built-inset()function. If you later need a real list again, you can similarly pass the set to thelist()function.",/questions/7961363/removing-duplicates-in-lists,Removing duplicates in lists
161,Theproperty()function returns a specialdescriptor object:,/questions/17330160/how-does-the-property-decorator-work,How does the @property decorator work?
162,"In Python 2, use urllib2 which comes with the standard library.",/questions/22676/how-do-i-download-a-file-over-http-using-python,How do I download a file over HTTP using Python?
163,You could use:,/questions/8369219/how-to-read-a-text-file-into-a-string-variable-and-strip-newlines,How to read a text file into a string variable and strip newlines?
164,"Named tuples are basically easy-to-create, lightweight object types.  Named tuple instances can be referenced using object-like variable dereferencing or the standard tuple syntax.  They can be used similarly tostructor other common record types, except that they are immutable.  They were added in Python 2.6 and Python 3.0, although there is arecipe for implementation in Python 2.4.",/questions/2970608/what-are-named-tuples-in-python,What are “named tuples” in Python?
165,"It seems mysql_config is missing on your system or the installer could not find it.
Be sure mysql_config is really installed.",/questions/5178292/pip-install-mysql-python-fails-with-environmenterror-mysql-config-not-found,pip install mysql-python fails with EnvironmentError: mysql_config not found
166,You can get the values as a list by doing:,/questions/19482970/get-list-from-pandas-dataframe-column-headers,Get list from pandas DataFrame column headers
167,"Theassertstatement exists in almost every programming language. It helps detect problems early in your program, where the cause is clear, rather than later as a side-effect of some other operation.",/questions/5142418/what-is-the-use-of-assert-in-python,What is the use of “assert” in Python?
168,"Assuming that both your directories are real Python packages (do have the__init__.pyfile inside them), here is a safe solution for inclusion of modules relatively to the location of the script.",/questions/279237/import-a-module-from-a-relative-path,Import a module from a relative path
169,Use the original df1 indexes to create the series:,/questions/12555323/adding-new-column-to-existing-dataframe-in-python-pandas,Adding new column to existing DataFrame in Python pandas
170,"Standard Python dictionaries are unordered. Even if you sorted the (key,value) pairs, you wouldn't be able to store them in adictin a way that would preserve the ordering.",/questions/9001509/how-can-i-sort-a-dictionary-by-key,How can I sort a dictionary by key?
171,"It's a list of public objects of that module, as interpreted byimport *. It overrides the default of hiding everything that begins with an underscore.",/questions/44834/can-someone-explain-all-in-python,Can someone explain __all__ in Python?
172,Standard Library Reference: shutil.rmtree.,/questions/303200/how-do-i-remove-delete-a-folder-that-is-not-empty-with-python,How do I remove/delete a folder that is not empty with Python?
173,"I like to use double quotes around strings that are used for interpolation or that are natural language messages, and single quotes for small symbol-like strings, but will break the rules if the strings contain quotes, or if I forget. I use triple double quotes for docstrings and raw string literals for regular expressions even if they aren't needed.",/questions/56011/single-quotes-vs-double-quotes-in-python,Single quotes vs. double quotes in Python [closed]
174,Thejsonmodule already implements some basic pretty printing with theindentparameter:,/questions/12943819/how-to-prettyprint-a-json-file,How to prettyprint a JSON file?
175,"If you need to do this, do",/questions/3501382/checking-whether-a-variable-is-an-integer-or-not,Checking whether a variable is an integer or not
